number,value,datetime_start,datetime_complete,duration,params_d_ff,params_d_layers,params_d_model,params_dropout,params_e_layers,params_factor,params_learning_rate,params_n_heads,params_weight_decay,state
0,0.06273473746010236,2025-11-27 13:13:37.884226,2025-11-27 13:21:47.166416,0 days 00:08:09.282190,2048,4,512,0.05686654536980367,2,7,5.3604111240916046e-05,2,2.0029775144915375e-06,COMPLETE
1,0.06113593681500508,2025-11-27 13:13:37.886358,2025-11-27 13:20:51.347450,0 days 00:07:13.461092,2048,1,512,0.09393124247387885,3,3,3.7145198207541354e-05,4,0.0015382656567093152,COMPLETE
2,0.07575902167488546,2025-11-27 13:20:51.349138,2025-11-27 13:30:59.494380,0 days 00:10:08.145242,1024,4,512,0.1350020050218711,3,7,1.2172911914087621e-05,4,0.006679909609938342,COMPLETE
3,0.05562237650156021,2025-11-27 13:21:47.168056,2025-11-27 13:29:22.395941,0 days 00:07:35.227885,1024,4,1024,0.07922118441467992,1,7,6.545003762670694e-05,4,1.1940394583476292e-06,COMPLETE
4,0.057196640968322755,2025-11-27 13:29:22.397466,2025-11-27 13:34:06.992135,0 days 00:04:44.594669,2048,2,1024,0.08355689018288859,1,7,7.208558083080031e-05,2,0.0008908047723889384,COMPLETE
5,0.07120530307292938,2025-11-27 13:30:59.496160,2025-11-27 13:41:18.245432,0 days 00:10:18.749272,512,4,1024,0.10379291674188929,1,5,1.6996596010165708e-05,16,0.00015597551533140736,COMPLETE
6,0.10142740793526173,2025-11-27 13:34:06.993701,2025-11-27 13:40:05.857887,0 days 00:05:58.864186,512,3,1024,0.09976525319790173,1,3,1.911954626012615e-05,8,0.00462379185598184,COMPLETE
7,0.052938568592071536,2025-11-27 13:40:05.859669,2025-11-27 13:49:29.936170,0 days 00:09:24.076501,2048,3,1024,0.07403111821148725,4,5,3.961216590164204e-05,4,3.420327610666098e-05,COMPLETE
8,0.06025743708014488,2025-11-27 13:41:18.247150,2025-11-27 13:50:14.244463,0 days 00:08:55.997313,1024,2,256,0.05306343604495472,2,5,7.603646310481734e-05,8,0.0030440172755741802,COMPLETE
9,0.06470085456967353,2025-11-27 13:49:29.937990,2025-11-27 13:52:54.344147,0 days 00:03:24.406157,1024,2,1024,0.08934149385705147,1,3,4.942714174655742e-05,4,0.007174505977092878,COMPLETE
