number,value,datetime_start,datetime_complete,duration,params_d_ff,params_d_layers,params_d_model,params_dropout,params_e_layers,params_factor,params_learning_rate,params_mix,params_n_heads,state
0,0.1205248311161995,2025-04-18 02:58:49.545048,2025-04-18 03:12:57.213905,0 days 00:14:07.668857,1024,1,256,0.19813493060648593,1,5,0.00717987380395011,False,4,COMPLETE
1,0.015745121985673904,2025-04-18 03:12:57.214646,2025-04-18 03:39:09.249178,0 days 00:26:12.034532,2048,1,512,0.14761851798743833,2,7,0.0009450923516191555,True,4,COMPLETE
2,0.01998799666762352,2025-04-18 03:39:09.249623,2025-04-18 04:08:37.993354,0 days 00:29:28.743731,1024,2,128,0.10836640277068106,2,7,0.00022250132858173788,True,2,COMPLETE
3,0.022691503167152405,2025-04-18 04:08:37.994152,2025-04-18 04:31:21.019522,0 days 00:22:43.025370,512,2,512,0.2766178765828301,1,3,0.00010243116035143925,False,4,COMPLETE
4,0.07427079975605011,2025-04-18 04:31:21.020403,2025-04-18 05:03:13.732195,0 days 00:31:52.711792,2048,2,128,0.17395079814727568,2,3,1.4349014719232448e-05,False,2,COMPLETE
5,0.022894036024808884,2025-04-18 05:03:13.733233,2025-04-18 05:22:34.986320,0 days 00:19:21.253087,1024,1,128,0.2415138399661623,1,3,0.0004437900328487678,True,2,PRUNED
6,0.06961975991725922,2025-04-18 05:22:34.987172,2025-04-18 05:54:52.926164,0 days 00:32:17.938992,2048,2,128,0.21103556708108748,2,5,0.0023145504322858784,False,8,PRUNED
7,0.01759650930762291,2025-04-18 05:54:52.926807,2025-04-18 06:15:39.608825,0 days 00:20:46.682018,2048,1,128,0.17125710943578562,1,5,0.00046134057250778865,True,4,COMPLETE
8,0.01877056621015072,2025-04-18 06:15:39.609783,2025-04-18 06:46:11.382567,0 days 00:30:31.772784,512,2,256,0.2133604740393641,2,5,0.00028326877424990885,False,8,COMPLETE
9,0.08335025608539581,2025-04-18 06:46:11.383027,2025-04-18 07:16:47.224567,0 days 00:30:35.841540,512,2,256,0.24981856947459666,2,5,0.002703562615703267,True,2,PRUNED
